ENSMUST00000070533,Q5GH67,Q5GH67
ENSMUST00000027032,P56716,P56716
ENSMUST00000027035,Q61473,Q61473
ENSMUST00000195555,Q61473,Q61473
ENSMUST00000116652,Q61473,Q61473
ENSMUST00000130201,Q9CPR5,Q9CPR5
ENSMUST00000156816,Q9CPR5,Q9CPR5
ENSMUST00000027036,P97823,P97823
ENSMUST00000150971,P97823,P97823
ENSMUST00000081551,P10711,P10711
ENSMUST00000002533,Q9QZB1,Q9QZB1
ENSMUST00000044369,Q8BVE3,Q8BVE3
ENSMUST00000160777,P33534,P33534
ENSMUST00000027038,P33534,P33534
ENSMUST00000160339,P33534,P33534
ENSMUST00000044180,P49681,P49681
ENSMUST00000027040,Q9ESK9,Q9ESK9
ENSMUST00000133144,J3QPP8,J3QPP8
ENSMUST00000140079,Q80TY4,Q80TY4
ENSMUST00000131494,Q80TY4,Q80TY4
ENSMUST00000043578,Q80TY4,Q80TY4
ENSMUST00000150761,Q80TY4,Q80TY4
ENSMUST00000151281,Q80TY4,Q80TY4
ENSMUST00000163727,Q80TY4,Q80TY4
ENSMUST00000061280,P59913,P59913
ENSMUST00000072079,Q9CYH6,Q9CYH6
ENSMUST00000144177,Q8R0N6,Q8R0N6
ENSMUST00000088666,Q8BG31,Q8BG31
ENSMUST00000166384,Q9ERE3,Q9ERE3
ENSMUST00000168907,Q9ERE3,Q9ERE3
ENSMUST00000171265,Q9ERE3,Q9ERE3
ENSMUST00000097826,Q9ERE3,Q9ERE3
ENSMUST00000052843,E9Q956,E9Q956
ENSMUST00000171802,E9Q956,E9Q956
ENSMUST00000027049,Q8R1Z4,Q8R1Z4
ENSMUST00000130102,Q8R1Z4,Q8R1Z4
ENSMUST00000027050,O35864,O35864
ENSMUST00000071087,B2RX88,B2RX88
ENSMUST00000117415,B2RX88,B2RX88
ENSMUST00000118263,B2RX88,B2RX88
ENSMUST00000122156,B2RX88,B2RX88
ENSMUST00000119714,B2RX88,B2RX88
ENSMUST00000186294,B2RX88,B2RX88
ENSMUST00000088615,G3X9K3,G3X9K3
ENSMUST00000035577,Q5U901,Q5U901
ENSMUST00000027056,Q3LAC4,Q3LAC4
ENSMUST00000048613,Q8BZJ8,Q8BZJ8
ENSMUST00000171690,Q8BZJ8,Q8BZJ8
ENSMUST00000141512,Q8BZJ8,Q8BZJ8
ENSMUST00000135014,Q8BZJ8,Q8BZJ8
ENSMUST00000177608,Q8K007,Q8K007
ENSMUST00000180062,Q8K007,Q8K007
ENSMUST00000088585,Q8K007,Q8K007
ENSMUST00000047577,E9Q3T6,E9Q3T6
ENSMUST00000006037,Q61026,Q61026
ENSMUST00000027068,Q91V04,Q91V04
ENSMUST00000027071,Q99KR3,Q99KR3
ENSMUST00000088542,Q5GH62,Q5GH62
ENSMUST00000027066,P97767,P97767
ENSMUST00000190337,P97767,P97767
ENSMUST00000027062,O88940,O88940
ENSMUST00000041447,Q8BLA8,Q8BLA8
ENSMUST00000175681,A6H8H5,A6H8H5
ENSMUST00000170146,A6H8H5,A6H8H5
ENSMUST00000188371,P70371,P70371
ENSMUST00000040695,Q3UPR9,Q3UPR9
ENSMUST00000058437,P14148,P14148
ENSMUST00000027053,Q8VCH7,Q8VCH7
ENSMUST00000162751,Q8CJ67,Q8CJ67
ENSMUST00000054668,Q8CJ67,Q8CJ67
ENSMUST00000162627,Q8CJ67,Q8CJ67
ENSMUST00000027052,Q8CJ67,Q8CJ67
ENSMUST00000162435,Q8CJ67,Q8CJ67
ENSMUST00000159558,Q8CJ67,Q8CJ67
ENSMUST00000162007,Q8CJ67,Q8CJ67
ENSMUST00000115359,Q8CJ67,Q8CJ67
ENSMUST00000144138,Q8CJ67,Q8CJ67
ENSMUST00000188641,P83940,P83940
ENSMUST00000115352,P83940,P83940
ENSMUST00000186948,P83940,P83940
ENSMUST00000185771,P83940,P83940
ENSMUST00000065373,Q921N7,Q921N7
ENSMUST00000026881,Q9JHF9,Q9JHF9
ENSMUST00000038382,Q9ET80,Q9ET80
ENSMUST00000026879,O88741,O88741
ENSMUST00000159958,Q8CGD2,Q8CGD2
ENSMUST00000095075,Q8CGD2,Q8CGD2
ENSMUST00000097818,Q30KP5,Q30KP5
ENSMUST00000088463,Q30KP6,Q30KP6
ENSMUST00000097817,Q30KP6,Q30KP6
ENSMUST00000037294,Q91ZK0,Q91ZK0
ENSMUST00000027059,Q61313,Q61313
ENSMUST00000027061,Q62386,Q62386
ENSMUST00000039046,Q7TNI7,Q7TNI7
ENSMUST00000053266,P25206,P25206
ENSMUST00000189400,Q80ZE5,Q80ZE5
ENSMUST00000068880,Q80ZE5,Q80ZE5
ENSMUST00000167119,Q80ZE5,Q80ZE5
ENSMUST00000187651,Q80ZE5,Q80ZE5
ENSMUST00000037998,Q924Z5,Q924Z5
ENSMUST00000027065,P56983,P56983
ENSMUST00000027067,P30115,P30115
ENSMUST00000121676,P30115,P30115
ENSMUST00000088407,Q3UWR2,Q3UWR2
ENSMUST00000070223,Q4KL78,Q4KL78
ENSMUST00000147615,P0C7A0,P0C7A0
ENSMUST00000029667,Q9JK45,Q9JK45
ENSMUST00000027343,Q8VE52,Q8VE52
ENSMUST00000063663,P59270,P59270
ENSMUST00000140583,P59270,P59270
ENSMUST00000027339,Q91VZ6,Q91VZ6
ENSMUST00000027338,Q8BTE0,Q8BTE0
ENSMUST00000027337,Q6NS59,Q6NS59
ENSMUST00000115244,Q0VF58,Q0VF58
ENSMUST00000191471,Q8K0B2,Q8K0B2
ENSMUST00000095062,Q8K0B2,Q8K0B2
ENSMUST00000135518,Q80ZF8,Q80ZF8
ENSMUST00000151309,Q80ZF8,Q80ZF8
ENSMUST00000041838,Q80ZF8,Q80ZF8
ENSMUST00000027232,Q63739,Q63739
ENSMUST00000076587,Q63739,Q63739
ENSMUST00000062560,Q8CIX8,Q8CIX8
ENSMUST00000027230,Q3KNI6,Q3KNI6
ENSMUST00000027226,Q9WU01,Q9WU01
ENSMUST00000188257,Q9WU01,Q9WU01
ENSMUST00000027312,P33610,P33610
ENSMUST00000044691,Q91YN9,Q91YN9
ENSMUST00000019861,Q8C0P7,Q8C0P7
ENSMUST00000115161,Q6PFX2,Q6PFX2
ENSMUST00000062289,Q6PFX2,Q6PFX2
ENSMUST00000097786,Q91ZU6,Q91ZU6
ENSMUST00000097785,Q91ZU6,Q91ZU6
ENSMUST00000183302,Q91ZU6,Q91ZU6
ENSMUST00000042493,Q8VE99,Q8VE99
ENSMUST00000027303,Q8VHZ7,Q8VHZ7
ENSMUST00000027302,Q61152,Q61152
ENSMUST00000027299,O70169,O70169
ENSMUST00000027298,P97766,P97766
ENSMUST00000047840,A6H6T1,A6H6T1
ENSMUST00000052670,Q6NS69,Q6NS69
ENSMUST00000047664,Q7TNR9,Q7TNR9
ENSMUST00000047534,Q80XQ8,Q80XQ8
ENSMUST00000156687,Q9QZC7,Q9QZC7
ENSMUST00000027297,Q9QZC7,Q9QZC7
ENSMUST00000088174,Q9QYK5,Q9QYK5
ENSMUST00000046875,Q6P5E4,Q6P5E4
ENSMUST00000056946,Q8CJC5,Q8CJC5
ENSMUST00000115031,Q3U108,Q3U108
ENSMUST00000115032,Q3U108,Q3U108
ENSMUST00000137906,Q3U108,Q3U108
ENSMUST00000115029,Q3U108,Q3U108
ENSMUST00000185912,A2RSY1,A2RSY1
ENSMUST00000010597,A2RSY1,A2RSY1
ENSMUST00000186470,A2RSY1,A2RSY1
ENSMUST00000179162,P0DM40,P0DM40
ENSMUST00000125304,P59481,P59481
ENSMUST00000153128,Q69ZF7,Q69ZF7
ENSMUST00000001166,Q32NY4,Q32NY4
ENSMUST00000097776,Q32NY4,Q32NY4
ENSMUST00000054665,Q812A3,Q812A3
ENSMUST00000001172,Q9D2X0,Q9D2X0
ENSMUST00000191677,Q64151,Q64151
ENSMUST00000191642,Q64151,Q64151
ENSMUST00000195620,Q64151,Q64151
ENSMUST00000114991,Q64151,Q64151
ENSMUST00000043951,Q8R5C5,Q8R5C5
ENSMUST00000027291,P43404,P43404
ENSMUST00000027290,O70472,O70472
ENSMUST00000194563,O70472,O70472
ENSMUST00000194195,Q9JJZ8,Q9JJZ8
